#LanguageTag	#Level	#Worksheet	#Problem	#Word/Sentence	#Card	#ActiveCard	#Sound	#Image	#HintWord/Sentence	#CanDuplicate					
ms-MY	21	1	4	pangkalan	ceng,teng,pang,bang/ke,ko,ka,sa/rik,rak,lok,lan,wan	pang,ke,ka,lan,wan	pangkalan.m4a	pangkalan.png	TRUE	TRUE
ms-MY	21	1	5	bangsawan	ceng,teng,pang,bang/ke,ko,ka,sa/rik,rak,lok,lan,wan	bang,ko,sa,wan,lan	bangsawan.m4a		TRUE	TRUE
ms-MY	21	2	1	tingkatan	ting,ceng,teng,ring,ling/ka,ge/tan,man,lam,san,ran	ting,ge,ka,tan,man	tingkatan.m4a		TRUE	TRUE
ms-MY	21	2	2	cengkaman	ting,ceng,teng,ring,ling/ka,ge/tan,man,lam,san,ran	ceng,ge,ka,man,lam	cengkaman.m4a		TRUE	TRUE
ms-MY	21	2	3	tenggelam	ting,ceng,teng,ring,ling/ka,ge/tan,man,lam,san,ran	teng,ka,ge,lam,ran	tenggelam.m4a		TRUE	TRUE
ms-MY	21	2	4	ringkasan	ting,ceng,teng,ring,ling/ka,ge/tan,man,lam,san,ran	ring,ge,ka,san,lam	ringkasan.m4a		TRUE	TRUE
ms-MY	21	2	5	lingkaran	ting,ceng,teng,ring,ling/ka,ge/tan,man,lam,san,ran	ling,ge,ka,ran,tan	lingkaran.m4a		TRUE	TRUE
ms-MY	22	1	1	belangkas	be,pe,me,se,te/lang,rang,long,ting/kas,kap,kak,gok	be,long,lang,kas,kap	belangkas.m4a	belangkas.png	TRUE	TRUE
ms-MY	22	1	2	perangkap	be,pe,me,se,te/lang,rang,long,ting/kas,kap,kak,gok	pe,long,rang,kap,kak	perangkap.m4a	perangkap.png	TRUE	TRUE
ms-MY	22	1	3	merangkak	be,pe,me,se,te/lang,rang,long,ting/kas,kap,kak,gok	me,lang,rang,kak,kap	merangkak.m4a	merangkak.png	TRUE	TRUE
ms-MY	22	1	4	selonggok	be,pe,me,se,te/lang,rang,long,ting/kas,kap,kak,gok	se,rang,long,gok,kas	selonggok.m4a		TRUE	TRUE
ms-MY	22	1	5	tetingkap	be,pe,me,se,te/lang,rang,long,ting/kas,kap,kak,gok	te,lang,ting,kap,kas	tetingkap.m4a	tetingkap.png	TRUE	TRUE
ms-MY	22	2	1	gelongsor	ge,te,me,se,pe/long,ting,lang,ring/sor,kat,gar,gan	ge,ring,long,sor,kat	gelongsor.m4a	gelongsor.png	TRUE	TRUE
ms-MY	22	2	2	tetingkat	ge,te,me,se,pe/long,ting,lang,ring/sor,kat,gar,gan	te,long,ting,kat,gar	tetingkat.m4a	tetingkat.png	TRUE	TRUE
ms-MY	22	2	3	melanggar	ge,te,me,se,pe/long,ting,lang,ring/sor,kat,gar,gan	me,ring,lang,gar,gan	melanggar.m4a		TRUE	TRUE
ms-MY	22	2	4	setinggan	ge,te,me,se,pe/long,ting,lang,ring/sor,kat,gar,gan	se,long,ting,gan,gar	setinggan.m4a		TRUE	TRUE
ms-MY	22	2	5	peringkat	ge,te,me,se,pe/long,ting,lang,ring/sor,kat,gar,gan	pe,lang,ring,kat,sor	peringkat.m4a		TRUE	TRUE
ms-MY	23	1	1	laici	lai,pe,ge,pu,ran/ci,tai,rai,lau	pe,lai,ci,tai	laici.m4a	laici.png	TRUE	TRUE
ms-MY	23	1	2	petai	lai,pe,ge,pu,ran/ci,tai,rai,lau	pe,rai,tai,lai	petai.m4a	petai.png	TRUE	TRUE
ms-MY	23	1	3	gerai	lai,pe,ge,pu,ran/ci,tai,rai,lau	ge,lai,rai,ci	gerai.m4a	gerai.png	TRUE	TRUE
ms-MY	23	1	4	pulau	lai,pe,ge,pu,ran/ci,tai,rai,lau	pu,rai,lau,ci	pulau.m4a	pulau.png	TRUE	TRUE
ms-MY	23	1	5	rantai	lai,pe,ge,pu,ran/ci,tai,rai,lau	ran,ci,tai,lai	rantai.m4a	rantai.png	TRUE	TRUE
ms-MY	23	2	1	pantai	pan,sam,kel,se,tau/tai,pai,dai,rai,hu	pan,sam,tai,pai	pantai.m4a	pantai.png	TRUE	TRUE
ms-MY	23	2	2	sampai	pan,sam,kel,se,tau/tai,pai,dai,rai,hu	sam,rai,pai,tai	sampai.m4a		TRUE	TRUE
ms-MY	23	2	3	keldai	pan,sam,kel,se,tau/tai,pai,dai,rai,hu	kel,pai,dai,tai	keldai.m4a	keldai.png	TRUE	TRUE
ms-MY	23	2	4	serai	pan,sam,kel,se,tau/tai,pai,dai,rai,hu	se,dai,rai,pai	serai.m4a	serai.png	TRUE	TRUE
ms-MY	23	2	5	tauhu	pan,sam,kel,se,tau/tai,pai,dai,rai,hu	tau,kel,hu,tai	tauhu.m4a	tauhu.png	TRUE	TRUE
ms-MY	24	1	1	paus	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	p,a,e,i,o,u,s	paus.m4a	paus.png	TRUE	TRUE
ms-MY	24	1	2	daun	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	d,a,e,i,o,u,n	daun.m4a	daun.png	TRUE	TRUE
ms-MY	24	1	3	suis	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	s,a,e,i,o,u,s	suis.m4a	suis.png	TRUE	TRUE
ms-MY	24	1	4	kiub	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	k,a,e,i,o,u,b	kiub.m4a	kiub.png	TRUE	TRUE
ms-MY	24	1	5	kuih	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	k,a,e,i,o,u,h	kuih.m4a	kuih.png	TRUE	TRUE
ms-MY	24	2	1	puak	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	p,a,e,i,o,u,k	puak.m4a		TRUE	TRUE
ms-MY	24	2	2	lauk	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	l,a,e,i,o,u,k	lauk.m4a	lauk.png	TRUE	TRUE
ms-MY	24	2	3	kaum	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	k,a,e,i,o,u,m	kaum.m4a		TRUE	TRUE
ms-MY	24	2	4	laut	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	l,a,e,i,o,u,t	laut.m4a	laut.png	TRUE	TRUE
ms-MY	24	2	5	buih	a,b,c,d,e,f,g,h,i,j,k,l,m/n,o,p,q,r,s,t,u,v,w,x,y,z	b,a,e,i,o,u,h	buih.m4a	buih.png	TRUE	TRUE
ms-MY	25	1	1	ngeri	nge,si,nga,bu,u/ri,nga,ngu	nge,nga,ri,ngu	ngeri.m4a		TRUE	TRUE
ms-MY	25	1	2	singa	nge,si,nga,bu,u/ri,nga,ngu	si,nge,nga,ngu	singa.m4a	singa.png	TRUE	TRUE
ms-MY	25	1	3	nganga	nge,si,nga,bu,u/ri,nga,ngu	nga,bu,nga,ri	nganga.m4a		TRUE	TRUE
ms-MY	25	1	4	bunga	nge,si,nga,bu,u/ri,nga,ngu	bu,si,nga,ngu	bunga.m4a	bunga.png	TRUE	TRUE
ms-MY	25	1	5	ungu	nge,si,nga,bu,u/ri,nga,ngu	u,nga,ngu,ri	ungu.m4a	ungu.png	TRUE	TRUE
ms-MY	25	2	1	pengat	pe,lo,ta,le,ba/ngat,ngan,ngun	pe,lo,ngan,ngat	pengat.m4a		TRUE	TRUE
ms-MY	25	2	2	longan	pe,lo,ta,le,ba/ngat,ngan,ngun	lo,le,ngat,ngan	longan.m4a	longan.png	TRUE	TRUE
ms-MY	25	2	3	tangan	pe,lo,ta,le,ba/ngat,ngan,ngun	ta,ba,ngun,ngan	tangan.m4a	tangan.png	TRUE	TRUE
ms-MY	25	2	4	lengan	pe,lo,ta,le,ba/ngat,ngan,ngun	le,pe,ngat,ngun	lengan.m4a	lengan.png	TRUE	TRUE
ms-MY	25	2	5	bangun	pe,lo,ta,le,ba/ngat,ngan,ngun	ba,ta,ngan,ngat	bangun.m4a		TRUE	TRUE
ms-MY	26	1	1	kunyit	ku,syi,pe,nya,mi/nyit,ling,nyu,nyi,nyak	ku,nya,nyit,nyu	kunyit.m4a		TRUE	TRUE
ms-MY	26	1	2	syiling	ku,syi,pe,nya,mi/nyit,ling,nyu,nyi,nyak	syi,pe,ling,nyit	syiling.m4a	syiling.png	TRUE	TRUE
ms-MY	26	1	3	penyu	ku,syi,pe,nya,mi/nyit,ling,nyu,nyi,nyak	pe,mi,nyu,nyak	penyu.m4a	penyu.png	TRUE	TRUE
ms-MY	26	1	4	nyanyi	ku,syi,pe,nya,mi/nyit,ling,nyu,nyi,nyak	nya,ku,nyak,nyi	nyanyi.m4a	nyanyi.png	TRUE	TRUE
ms-MY	26	1	5	minyak	ku,syi,pe,nya,mi/nyit,ling,nyu,nyi,nyak	mi,syi,nyak,nyu	minyak.m4a	minyak.png	TRUE	TRUE
ms-MY	26	2	1	sunyi	su,mo,nya,sya/nyi,nyet,muk,ir,ta	su,nyi,nya,muk	sunyi.m4a	sunyi.png	TRUE	TRUE
ms-MY	26	2	2	monyet	su,mo,nya,sya/nyi,nyet,muk,ir,ta	mo,nyet,nya,ir	monyet.m4a	monyet.png	TRUE	TRUE
ms-MY	26	2	3	nyamuk	su,mo,nya,sya/nyi,nyet,muk,ir,ta	nya,muk,sya,nyet	nyamuk.m4a	nyamuk.png	TRUE	TRUE
ms-MY	26	2	4	syair	su,mo,nya,sya/nyi,nyet,muk,ir,ta	sya,ir,mo,nyi	syair.m4a		TRUE	TRUE
ms-MY	26	2	5	nyata	su,mo,nya,sya/nyi,nyet,muk,ir,ta	nya,ta,sya,nyet	nyata.m4a		TRUE	TRUE
